fecha,hora,parada,linea,identificadorCoche,esAdaptado,tiempo_min,distancia_km
2025-09-14,01:52:02,7881,123,363(C),False,73,1.5254615601576698
2025-09-14,01:52:02,7881,153 N,1214(C),False,73,3.644690303436117
2025-09-14,01:57:10,7881,153 R,326(C),True,21,4.75088777657781
2025-09-14,01:57:10,7881,123,363(C),False,68,2.8161029893055183
2025-09-14,01:57:10,7881,153 N,1214(C),False,68,2.8363584201286107
2025-09-14,02:02:18,7881,153 R,326(C),True,16,4.75272932831306
2025-09-14,02:02:18,7881,123,363(C),False,57,4.213338555908049
2025-09-14,02:02:18,7881,153 N,1214(C),False,63,2.4749167949272493
2025-09-14,02:02:18,5742,128 R,3873,True,31,3.8277869696621094
2025-09-14,02:07:22,7881,153 R,326(C),True,9,3.6246716680853246
2025-09-14,02:07:22,7881,123,363(C),False,52,2.998722698653186
2025-09-14,02:07:22,7881,153 N,1214(C),False,58,2.4749167949272493
2025-09-14,02:07:22,5742,128 R,3873,True,26,3.0161438123824214
2025-09-14,02:12:26,7881,153 R,326(C),True,5,2.5790685437066734
2025-09-14,02:12:26,7881,123,363(C),False,47,1.870253123948466
2025-09-14,02:12:26,7881,153 N,1214(C),False,53,3.1252832888963566
2025-09-14,02:12:26,7881,153 N,323(C),True,94,7.89639916444129
2025-09-14,02:12:26,5742,128 R,3873,True,19,3.334493163855168
2025-09-14,02:17:31,7881,153 R,326(C),True,0,0.8272123238494881
2025-09-14,02:17:31,7881,123,363(C),False,41,0.23670966427318016
2025-09-14,02:17:31,7881,153 N,1214(C),False,48,1.6438200232262676
2025-09-14,02:17:31,7881,153 N,323(C),True,89,8.73845516819514
2025-09-14,02:17:31,5742,128 R,3873,True,12,2.66362132122555
2025-09-14,02:22:35,7881,123,363(C),False,36,1.774026515280775
2025-09-14,02:22:35,7881,153 N,1214(C),False,43,0.44943764523301005
2025-09-14,02:22:35,7881,153 N,323(C),True,84,8.656282149907215
2025-09-14,02:22:35,5742,128 R,3873,True,3,1.3624280410279934
2025-09-14,02:27:39,7881,123,363(C),False,31,4.7698439535370545
2025-09-14,02:27:39,7881,153 N,1214(C),False,38,1.5045134634832882
2025-09-14,02:27:39,7881,153 N,323(C),True,79,6.595092666231145
2025-09-14,02:32:47,7881,153 N,1214(C),False,32,3.349791990549733
2025-09-14,02:32:47,7881,153 N,323(C),True,73,4.831407567416548
2025-09-14,02:37:54,7881,120,356(C),False,10,3.6093726466822416
2025-09-14,02:37:54,7881,153 N,323(C),True,68,3.558264353216943
2025-09-14,02:37:54,7881,120,356(C),False,98,3.6093726466822416
2025-09-14,02:43:03,7881,120,356(C),False,11,3.63196870307881
2025-09-14,02:43:03,7881,123,363(C),False,17,6.533698044838185
2025-09-14,02:43:03,7881,153 N,323(C),True,63,2.6500200020195783
2025-09-14,02:43:03,7881,120,356(C),False,99,3.63196870307881
2025-09-14,02:48:11,7881,120,356(C),False,10,3.6324109038635486
2025-09-14,02:48:11,7881,123,363(C),False,12,4.352812408557552
2025-09-14,02:48:11,7881,153 N,323(C),True,58,2.7952188133713594
2025-09-14,02:48:11,7881,120,356(C),False,98,3.6324109038635486
2025-09-14,02:53:18,7881,123,363(C),False,6,2.2321280320727035
2025-09-14,02:53:18,7881,120,356(C),False,10,3.6324109038635486
2025-09-14,02:53:18,7881,153 N,1214(C),False,21,3.432522661508479
2025-09-14,02:53:18,7881,153 N,323(C),True,53,3.54852261665903
2025-09-14,02:53:18,7881,120,356(C),False,98,3.6324109038635486
2025-09-14,02:58:26,7881,153 N,1214(C),False,5,2.627156673927573
2025-09-14,02:58:26,7881,120,356(C),False,10,3.6345809380764367
2025-09-14,02:58:26,7881,153 N,323(C),True,48,2.1578686071911455
2025-09-14,02:58:26,7881,120,356(C),False,98,3.6345809380764367
2025-09-14,03:03:34,7881,153 N,1214(C),False,2,0.4136165184381975
2025-09-14,03:03:34,7881,120,356(C),False,10,3.635024459870687
2025-09-14,03:03:34,7881,153 N,323(C),True,43,0.16526606525148696
2025-09-14,03:03:34,7881,120,356(C),False,98,3.635024459870687
2025-09-14,03:03:34,5742,122 VERDE,4247,False,27,4.144034368703693
2025-09-14,03:08:38,7881,153 N,323(C),True,38,2.450961553233329
2025-09-14,03:08:38,7881,120,356(C),False,44,3.6350490072709944
2025-09-14,03:08:38,5742,122 VERDE,4247,False,19,3.6741718940836487
2025-09-14,03:13:42,7881,120,356(C),False,39,3.6354685073002613
2025-09-14,03:13:42,5742,122 VERDE,4247,False,14,3.6741718940836487
2025-09-14,03:18:47,7881,120,356(C),False,34,3.6371964876583487
2025-09-14,03:18:47,5742,122 VERDE,4247,False,6,1.9201085766642096
2025-09-14,03:23:51,7881,120,356(C),False,28,3.6367771871461017
2025-09-14,03:23:51,5742,122 VERDE,4247,False,0,0.4596357283765873
2025-09-14,03:28:55,7881,120,356(C),False,23,3.6371964876583487
2025-09-14,03:34:03,7881,120,356(C),False,18,3.636752172289585
2025-09-14,03:34:03,5742,128 R,3873,True,28,3.9672398923641174
2025-09-14,03:39:08,7881,120,356(C),False,13,3.6363083822432887
2025-09-14,03:39:08,5742,128 R,3873,True,27,3.471256814378985
2025-09-14,03:44:12,7881,153 N,323(C),True,4,2.1556766003097483
2025-09-14,03:44:12,7881,120,356(C),False,10,3.635001512757117
2025-09-14,03:44:12,5742,128 R,3873,True,23,3.0356642267687417
2025-09-14,03:49:16,7881,120,356(C),False,10,3.634137942115079
2025-09-14,03:49:16,5742,128 R,3873,True,16,3.4601309128628785
2025-09-14,03:54:20,7881,120,356(C),False,10,3.6349801659648233
2025-09-14,03:54:20,5742,128 R,3873,True,8,2.3152823392342117
2025-09-14,03:59:24,7881,120,356(C),False,10,3.634538479130914
2025-09-14,03:59:24,5742,128 R,3873,True,2,0.9089919066762282
2025-09-14,04:04:28,7881,120,356(C),False,10,3.634538479130914
2025-09-14,04:09:36,7881,120,356(C),False,11,3.635823554993193
2025-09-14,04:14:44,7881,120,356(C),False,10,3.637128289762638
2025-09-14,04:19:51,7881,120,356(C),False,11,3.63624568619618
2025-09-14,04:19:51,7881,123,1230(A),False,17,6.43523671536205
2025-09-14,04:24:59,7881,120,1205(A),False,10,3.5561872662857072
2025-09-14,04:24:59,7881,123,1230(A),False,11,3.900623720097747
2025-09-14,04:24:59,7881,123,1230(A),False,96,3.900623720097747
2025-09-14,04:30:08,7881,123,1230(A),False,4,1.7918160811078139
2025-09-14,04:30:08,7881,120,1205(A),False,11,3.557551136261402
2025-09-14,04:30:08,7881,123,1230(A),False,89,1.7918160811078139
2025-09-14,04:30:08,5742,122 VERDE,4151,False,22,4.060200927257696
2025-09-14,04:35:13,7881,123,1230(A),False,0,0.3287182387607236
2025-09-14,04:35:13,7881,120,1205(A),False,6,3.330924865844392
2025-09-14,04:35:13,7881,123,1230(A),False,84,0.3287182387607236
2025-09-14,04:35:13,7881,120,1205(A),False,96,3.330924865844392
2025-09-14,04:35:13,5742,122 VERDE,4151,False,12,3.1856507937416407
2025-09-14,04:40:17,7881,120,1205(A),False,0,0.35387042999320173
2025-09-14,04:40:17,7881,123,1230(A),False,80,1.1829991535246724
2025-09-14,04:40:17,7881,120,1205(A),False,89,0.35387042999320173
2025-09-14,04:40:17,5742,122 VERDE,4151,False,6,1.7591913612377696
2025-09-14,04:45:22,7881,123,1230(A),False,74,2.8107009794360334
2025-09-14,04:45:22,7881,120,1205(A),False,83,1.1709597607781654
2025-09-14,04:45:22,5742,122 VERDE,4151,False,0,0.09700577611067819
2025-09-14,04:50:26,7881,123,1230(A),False,69,3.8833702207485667
2025-09-14,04:50:26,7881,120,1205(A),False,77,2.6138198796284757
2025-09-14,04:50:26,5742,122 VERDE,4247,False,19,4.152702716388787
2025-09-14,04:55:30,7881,123,1230(A),False,64,2.4216234811184254
2025-09-14,04:55:30,7881,120,1205(A),False,70,3.530500068057583
2025-09-14,04:55:30,5742,122 ROJA,4153,False,13,3.5205015928491776
2025-09-14,04:55:30,5742,122 VERDE,4247,False,21,4.052224924381432
2025-09-14,05:00:34,7881,123,1230(A),False,58,0.9159218890142272
2025-09-14,05:00:34,7881,120,1205(A),False,65,3.1536102146828493
2025-09-14,05:00:34,5742,128 R,3873,True,33,4.003887903397873
2025-09-14,05:05:39,7881,120,1205(A),False,60,1.8258393206532604
2025-09-14,05:05:39,7881,153 R,342(A),True,99,8.948371992109363
2025-09-14,05:05:39,5742,122 ROJA,4153,False,4,1.88676694877026
2025-09-14,05:05:39,5742,122 VERDE,4247,False,21,4.053944533983107
2025-09-14,05:05:39,5742,128 R,3873,True,28,3.129189438273179
2025-09-14,05:10:44,7881,120,1195(A),False,17,3.564312646975517
2025-09-14,05:10:44,7881,123,1230(A),False,48,3.037504357526816
2025-09-14,05:10:44,7881,120,1205(A),False,55,2.707815665251226
2025-09-14,05:10:44,7881,153 R,342(A),True,94,8.17935768750911
2025-09-14,05:10:44,5742,128 R,3873,True,21,3.1309018258018435
2025-09-14,05:10:44,5742,122 VERDE,4247,False,22,4.0520222137867385
2025-09-14,05:15:48,7881,120,1195(A),False,15,3.5651861388851835
2025-09-14,05:15:48,7881,123,1222(A),False,16,6.169610938947193
2025-09-14,05:15:48,7881,123,1230(A),False,43,5.512645838621176
2025-09-14,05:15:48,7881,120,1205(A),False,50,3.6909640164932087
2025-09-14,05:15:48,7881,123,1222(A),False,91,6.169610938947193
2025-09-14,05:15:48,5742,128 R,3873,True,14,2.939023853641252
2025-09-14,05:15:48,5742,122 VERDE,4247,False,19,3.4562670443178827
2025-09-14,05:20:52,7881,120,1195(A),False,9,3.318591592020328
2025-09-14,05:20:52,7881,123,1222(A),False,10,3.692086452192793
2025-09-14,05:20:52,7881,120,1205(A),False,44,2.944743434111472
2025-09-14,05:20:52,7881,153 R,342(A),True,84,6.429885739064277
2025-09-14,05:20:52,7881,123,1222(A),False,85,3.692086452192793
2025-09-14,05:20:52,5742,128 R,3873,True,5,2.301072034564553
2025-09-14,05:20:52,5742,122 VERDE,4247,False,8,2.394108079369086
2025-09-14,05:25:56,7881,120,1195(A),False,4,2.167362579907125
2025-09-14,05:25:56,7881,120,1205(A),False,39,1.8505190744921827
2025-09-14,05:25:56,7881,153 R,342(A),True,79,4.784332635241358
2025-09-14,05:25:56,5742,128 R,3873,True,0,0.08342963841173741
2025-09-14,05:25:56,5742,122 VERDE,4247,False,3,1.5494573382583947
2025-09-14,05:31:00,7881,123,1222(A),False,0,0.13724738375168108
2025-09-14,05:31:00,7881,120,1205(A),False,34,0.6618949072297472
2025-09-14,05:31:00,7881,123,1222(A),False,74,0.13724738375168108
